title,year,venue,type,co_authors
Hybrid Quadrupole Mass Filter – Radial Ejection Linear Ion Trap and Intelligent Data Acquisition Enable Highly Multiplex Targeted Proteomics,2024,bioRxiv (Cold Spring Harbor Laboratory),preprint,Philip M. Remes; Cristina C. Jacob; Lilian R. Heil; Nicholas Shulman; Brendan MacLean; Michael J. MacCoss
A Workflow for Improved Analysis of Cross-Linking Mass Spectrometry Data Integrating Parallel Accumulation-Serial Fragmentation with MeroX and Skyline,2024,Analytical Chemistry,article,Juan Camilo Rojas Echeverri; Frank Hause; Claudio Iacobucci; Christian Ihling; Dirk Tänzler; Nicholas Shulman; Michael Riffle; Brendan MacLean; Andrea Sinz
A Workflow for Improved Analysis of Cross-linking Mass Spectrometry Data Integrating Parallel Accumulation-Serial Fragmentation with MeroX and Skyline,2024,bioRxiv (Cold Spring Harbor Laboratory),preprint,Juan Camilo Rojas Echeverri; Frank Hause; Claudio Iacobucci; Christian Ihling; Dirk Tänzler; Nicholas Shulman; Michael Riffle; Brendan MacLean; Andrea Sinz
Development of highly multiplex targeted proteomics assays in biofluids using the Stellar mass spectrometer,2024,bioRxiv (Cold Spring Harbor Laboratory),preprint,Deanna L. Plubell; Philip M. Remes; Christine C. Wu; Cristina C. Jacob; Gennifer E. Merrihew; Chris Hsu; Nick Shulman; Brendan MacLean; Lilian R. Heil; Kathleen L. Poston; Tom Montine; Michael J. MacCoss
Carafe enables high quality <i>in silico</i> spectral library generation for data-independent acquisition proteomics,2024,bioRxiv (Cold Spring Harbor Laboratory),preprint,Bo Wen; Chris Hsu; David Shteynberg; Wen‐Feng Zeng; Michael Riffle; Alexis Chang; Miranda C. Mudge; Brook L. Nunn; Brendan MacLean; Matthew D. Berg; Judit Villén; Michael J. MacCoss; William Stafford Noble
Evaluating the Performance of the Astral Mass Analyzer for Quantitative Proteomics Using Data-Independent Acquisition,2023,Journal of Proteome Research,article,Lilian R. Heil; Eugen Damoc; Tabiwang N. Arrey; Anna Pashkova; Eduard Denisov; J. Petzoldt; Amelia C. Peterson; Chris Hsu; Brian C. Searle; Nicholas Shulman; Michael Riffle; B. Connolly; Brendan MacLean; Philip M. Remes; Michael W. Senko; Hamish Stewart; Christian Hock; Alexander Makarov; Daniel Hermanson; Vlad Zabrouskov; Christine C. Wu; Michael J. MacCoss
Evaluating the Performance of the Astral Mass Analyzer for Quantitative Proteomics Using Data Independent Acquisition,2023,bioRxiv (Cold Spring Harbor Laboratory),preprint,Lilian R. Heil; Eugen Damoc; Tabiwang N. Arrey; Anna Pashkova; Eduard Denisov; J. Petzoldt; Amelia C. Peterson; Chris Hsu; Brian C. Searle; Nicholas Shulman; Michael Riffle; B. Connolly; Brendan MacLean; Philip M. Remes; Michael W. Senko; Hamish Stewart; Christian Hock; Alexander Makarov; Daniel Hermanson; Vlad Zabrouskov; Christine C. Wu; Michael J. MacCoss
MSstats Version 4.0: Statistical Analyses of Quantitative Mass Spectrometry-Based Proteomic Experiments with Chromatography-Based Quantification at Scale,2023,Journal of Proteome Research,article,Devon Kohler; Mateusz Staniak; Tsung‐Heng Tsai; Ting Huang; Nicholas Shulman; Oliver M. Bernhardt; Brendan MacLean; Alexey I. Nesvizhskii; Lukas Reiter; Eduard Sabidó; Meena Choi; Olga Vitek
METLIN-CCS: an ion mobility spectrometry collision cross section database,2023,Nature Methods,article,Erin Baker; Corey Hoang; Winnie Uritboonthai; Heino Heyman; Brian Pratt; Michael J. MacCoss; Brendan MacLean; Robert S. Plumb; Aries Aisporna; Gary Siuzdak
Targeted proteomics data interpretation with DeepMRM,2023,Cell Reports Methods,article,Jungkap Park; Christopher Wilkins; Dmitry M. Avtonomov; Jiwon Hong; Seunghoon Back; Hokeun Kim; Nicholas Shulman; Brendan MacLean; Sang‐Won Lee; Sangtae Kim
Localization and Quantification of Post-Translational Modifications of Proteins Using Electron Activated Dissociation Fragmentation on a Fast-Acquisition Time-of-Flight Mass Spectrometer,2023,Journal of the American Society for Mass Spectrometry,article,Joanna Bons; Christie L. Hunter; Rita Chupalov; Jason Causon; Alexandra Antonoplis; Jacob Rose; Brendan MacLean; Birgit Schilling
Localization and Quantification of Post-Translational Modifications of Proteins Using Electron Activated Dissociation Fragmentation on a Fast-Acquisition Time-of-Flight Mass Spectrometer,2023,bioRxiv (Cold Spring Harbor Laboratory),preprint,Joanna Bons; Christie L. Hunter; Rita Chupalov; Jason Causon; Alexandra Antonoplis; Jacob Rose; Brendan MacLean; Birgit Schilling
The ProteomeXchange consortium at 10 years: 2023 update,2022,Nucleic Acids Research,article,Eric W. Deutsch; Nuno Bandeira; Yasset Pérez‐Riverol; Vagisha Sharma; Jeremy Carver; Luis Mendoza; Deepti J Kundu; Shengbo Wang; Chakradhar Bandla; Selvakumar Kamatchinathan; Suresh Hewapathirana; Benjamin Pullman; Julie Wertz; Zhi Sun; Shin Kawano; Shujiro Okuda; Yu Watanabe; Brendan MacLean; Michael J. MacCoss; Yunping Zhu; Yasushi Ishihama; Juan Antonio Vizcaíno
"Utilizing Skyline to analyze lipidomics data containing liquid chromatography, ion mobility spectrometry and mass spectrometry dimensions",2022,Nature Protocols,article,Kaylie I. Kirkwood‐Donelson; Brian Pratt; Nicholas Shulman; Kaipo Tamura; Michael J. MacCoss; Brendan MacLean; Erin Baker
