title,year,venue,type,co_authors
Recurrent structural variation and recent turnover at the 17q21.31 locus in humans and great apes,2026,Nature Communications,article,S. SRIDHARAN; Runyang Nicolas Lou; Scott Ferguson; Joana L. Rocha; Rishi De‐Kayne; Matthew W. Mitchell; Alison N. Killilia; CAAPA PopGen Working Group; Akmel Negash; Daniel Ansong; Sandra Kwarteng Owusu; Andre Garcia; Brooke Scelza; Marlo Möller; Caitlin Uren; Kathleen Barnes; Simon Gravel; Brenna Henn; Peter H. Sudmant
Clinical Evaluation of Real-Time Optical-Tracking Navigation and Live Time-Intensity Curves to Provide Feedback During Blinded 4D Contrast-Enhanced Ultrasound Imaging,2020,arXiv (Cornell University),preprint,Ahmed El Kaffas; Renhui Gong; Samvardhini Sridharan; Rosa Sigrist; Isabelle Durot; Jürgen K. Willmann; Dimitre Hristov
Early Breast Cancer Detection via Novel Radiomics Techniques and Ultrasonography,2019,eScholarship (California Digital Library),article,Samvardhini Sridharan
